ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,黎,hide,hide,hide,hide,「你知道你之前会头疼吗？」,天空,日常（侦探）,False,,
1001,零,hide,zero-suprise,hide,hide,「什么？头疼？」,天空,,,,
1002,黎,hide,zero-suprise,hide,hide,「看来症状是失忆后消失了……」,天空,,,,
1003,黎,hide,zero-suprise,hide,hide,「那罐药的化验结果出来了。我把它拿去问医生，查过档案后发现你有高频开具这种药物的记录——理由是“头痛”……」,天空,,,,
1004,,hide,hide,hide,hide,少女零有很严重的头痛。,天空,,,,
1005,,hide,hide,hide,hide,有时候会在学校发作，她会抱着脑袋趴在桌上呻吟。,天空,,,,
1006,,hide,hide,hide,hide,有时候会在吃饭时发作，她会疼到想把胃中的所有食物吐出。,天空,,,,
1007,,hide,hide,hide,hide,有时候会在半夜发作，让她辗转反侧无法入眠。,天空,,,,
1008,,hide,hide,hide,hide,头痛的症状越来越强烈，她终于有一天无法再忍受——,天空,,,,
1009,,hide,hide,hide,hide,因此，少女零开始吃药了。,天空,,,,
1010,,hide,hide,hide,hide,虽然有不少副作用，但与时不时骚扰的头痛相比，倒是显得微不足道了。,天空,,,,
1011,,hide,hide,hide,hide,一开始医生只是几片几片地开，后来是几板几盒的给。到最后，医生直接给了她一罐，以让她少跑几次医院。,天空,,,,
1012,,hide,hide,hide,hide,而这，就是一切的开始。,天空,,,,
1013,,hide,hide,hide,hide,药物是有副作用的。,天空,,,,
1014,,hide,hide,hide,hide,比如，少女零第一次和空接触时，会感觉“空曾经见过她”。,天空,,,,
1015,,hide,hide,hide,hide,再比如，少女零大脑会比较迟钝——忽略掉很多显而易见的信息。,天空,,,,
1016,,hide,hide,hide,hide,我一直觉得这个故事碎片很奇怪，几个疑点似乎怎么想都无法得到妥善解答。,天空,,,,
1017,,hide,hide,hide,hide,首先，碧说过大概率只有零和空知道的、关于空妹妹的事情。,天空,,,,
1018,,hide,hide,hide,hide,其次，零主观上和空第一次见面，但零感觉空似乎早就认识她。,天空,,,,
1019,,hide,hide,hide,hide,再者，关于空的下落，我也很好奇——明明一个大活人消失，为什么会没有家属报案呢？,天空,,,,
1020,,hide,hide,hide,hide,如果这是个推理小说，那么在小说末尾，侦探会给出一个惊天大反转——,天空,,,,
1021,,hide,hide,hide,hide,在给读者以惊讶的同时，又能直接解答故事的诸多疑问。,天空,,,,
1022,,hide,hide,hide,hide,可惜，我并没有从药物报告中得到我想要的答案，所以我只能去碧的家里碰碰运气。,天空,,,,
1023,,hide,hide,hide,hide,如果那反转真的存在的话，那么很快我就能知道它的真面目了——,天空,,,,
1024,黎,hide,hide,hide,hide,「那么，以上就是我目前推断的结果——怎么样，有没有推理小说那种感觉了？」,碧的房间,,,,
1025,碧,hide,aoi-default,hide,hide,「如果你是来我家讲这种事情的话，那么可以请你离开吗？」,碧的房间,,,,
1026,,hide,aoi-default,hide,hide,少女露出了嫌弃的表情，好像对我的推理故事完全不感兴趣。,碧的房间,,,,
1027,,hide,aoi-default,hide,hide,自我介绍时，碧显然对我的身份，以及我进了零房间这件事相当惊讶。,碧的房间,,,,
1028,,hide,aoi-default,hide,hide,我只得介绍了零的委托，以及自己的能力。,碧的房间,,,,
1029,黎,hide,aoi-default,hide,hide,「好了好了，不要生气，马上就到最精彩的部分了。」,碧的房间,,,,
1030,黎,hide,aoi-default,hide,hide,「然后啊，我就在想，会不会是我一开始就搞错了什么——」,碧的房间,,,,
