ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,黎,hide,hide,zero-default,hide,「你知道你之前会头疼吗？」,天空,日常（侦探）,False,,
1001,零,hide,hide,zero-suprise,hide,「什么？头疼？」,天空,,,,
1002,黎,hide,hide,zero-suprise,hide,「看来症状是失忆后消失了……」,天空,,,,
1003,黎,hide,hide,zero-suprise,hide,「那罐药的化验结果出来了。我把它拿去问医生，查过档案后发现你有高频开具这种药物的记录——理由是“头痛”……」,天空,,,,
1004,,hide,hide,hide,hide,少女零有很严重的头痛。,天空,,,,
1005,,hide,hide,hide,hide,有时候会在学校发作，她会抱着脑袋趴在桌上呻吟。,天空,,,,
1006,,hide,hide,hide,hide,有时候会在吃饭时发作，她会疼到想把胃中的所有食物吐出。,天空,,,,
1007,,hide,hide,hide,hide,有时候会在半夜发作，让她辗转反侧无法入眠。,天空,,,,
1008,,hide,hide,hide,hide,头痛的症状越来越强烈，她终于有一天无法再忍受——,天空,,,,
1009,,hide,hide,hide,hide,因此，少女零开始吃药了。,天空,,,,
1010,,hide,hide,hide,hide,虽然有不少副作用，但与时不时骚扰的头痛相比，倒是显得微不足道了。,天空,,,,
1011,,hide,hide,hide,hide,一开始医生只是几片几片地开，后来是几板几盒的给。到最后，医生直接给了她一罐，以让她少跑几次医院。,天空,,,,
1012,,hide,hide,hide,hide,而这，就是一切的开始。,天空,,,,
1013,,hide,hide,hide,hide,药物是有副作用的。,天空,,,,
1014,,hide,hide,zero-default,hide,比如，少女零第一次和空接触时，会感觉“空曾经见过她”。,天空,,,,
1015,,hide,hide,zero-default,hide,再比如，少女零大脑会比较迟钝——忽略掉很多显而易见的信息。,天空,,,,
1016,,hide,hide,zero-default,hide,鉴定科的同志说，他们在药物罐的塞子里发现了一个微型的监听器——,天空,,,,
1017,,hide,hide,zero-default,hide,监听器里面发现了无线网模块，续航不高，意味着如果安放者如果要监听零的话，必须每天都要给它充电。,天空,,,,
1018,,hide,hide,zero-default,hide,——每天都会接触到药罐的人，本来就没有多少。,天空,,,,
1019,,hide,zero-default,hide,aoi-default,于是，我拿着这些证据，找到了碧。,天空,,,,
1020,,hide,zero-default,zero-default,aoi-default,碧显然对我的身份，以及我进了零房间这件事相当惊讶。,天空,,,,
1021,,hide,zero-default,zero-default,aoi-default,对于我发现的事实，她自然是不承认的。,天空,,,,
1022,,hide,zero-default,zero-default,aoi-default,我只得介绍了自己的能力。,天空,,,,
1023,,hide,zero-default,zero-default,aoi-default,（碧的房间）,碧的房间,,,,
1024,碧,hide,hide,aoi-panic,hide,「你是说……你可以看到物品上的记忆？」,碧的房间,,,,
1025,黎,hide,hide,aoi-panic,hide,「当然。不要以为空失忆了，就万事大吉了。」,碧的房间,,,,
1026,碧,hide,hide,aoi-panic,hide,「咕——」,碧的房间,,,,
1027,碧,hide,hide,aoi-panic,hide,「但即使这样，你也不能证明这个跟我有关系吧——」,碧的房间,,,,
1028,,hide,hide,aoi-panic,hide,碧有些急躁，原本温柔的表情变得有些愤怒。,碧的房间,,,,
1029,黎,hide,hide,aoi-panic,hide,「只要检查一下你的电脑和手机，就可以知道你究竟有没有监听的事实了——」,碧的房间,,,,
1030,黎,hide,hide,aoi-panic,hide,「事已至此，警方申请搜查令很简单的。」,碧的房间,,,,
1031,碧,hide,hide,aoi-panic,hide,「……」,碧的房间,,,,
1032,黎,hide,hide,aoi-panic,hide,「我可在这呢，你不要想着现在销毁证据啊——」,碧的房间,,,,
1033,碧,hide,hide,aoi-panic,hide,「可恶……」,碧的房间,,,,
1034,碧,hide,hide,aoi-panic,hide,「…………」,碧的房间,,,,
1035,黎,hide,hide,aoi-panic,hide,「不说话？那我就当你默认这件事跟你有关了。」,碧的房间,,,,
1036,黎,hide,hide,aoi-panic,hide,「我回顾了整个事件，虽然整个故事的大致我基本了解了，但实际上有几个疑惑——」,碧的房间,,,,
1037,黎,hide,hide,aoi-panic,hide,「首先就是，为什么你会知道空的妹妹的事情？」,碧的房间,,,,
1038,黎,hide,hide,aoi-panic,hide,「本来是很令人匪夷所思的——但那瓶药的存在解释了这一切——」,碧的房间,,,,
1039,黎,hide,hide,aoi-panic,hide,「你，一直在监听你的青梅竹马，对吧——」,碧的房间,,,,
1040,碧,hide,hide,aoi-panic,hide,「…………」,碧的房间,,,,
1041,黎,hide,hide,aoi-panic,hide,「上次搜查，警方似乎没有发现这个药罐呢——被你收起来了是吧。」,碧的房间,,,,
1042,,hide,hide,aoi-panic,hide,为什么这么药品关键的证物没有收起来？,碧的房间,,,,
